Month,Open,High,Low,Close
August-2020,37595.73,40010.17,36911.23,38628.29,
September-2020,38754.00,39359.51,36495.98,38067.93,
October-2020,38410.20,41048.05,38410.20,39614.07,
November-2020,39880.38,44825.37,39334.92,44149.72,
December-2020,44435.83,47896.97,44118.10,47751.33,
January-2021,47785.28,50184.01,46160.46,46285.77,
February-2021,46617.95,52516.76,46433.65,49099.99,
March-2021,49747.71,51821.84,48236.35,49509.15,
April-2021,49868.53,50375.77,47204.50,48782.36,
May-2021,48356.01,52013.22,48028.07,51937.44,
June-2021,52067.51,53126.73,51450.58,52482.71,
July-2021,52638.50,53290.81,51802.73,52586.84,
August-2021,52901.28,57625.26,52804.08,57552.39,
September-2021,57763.53,60412.32,57263.90,59126.36,
October-2021,58889.77,62245.43,58551.14,59306.93,
November-2021,59577.48,61036.56,56382.93,57064.87,
December-2021,57365.85,59203.37,55132.68,58253.82,
January-2022,58310.09,61475.15,56409.63,58014.17,
February-2022,58672.86,59618.51,54383.20,56247.28,
March-2022,55629.30,58890.92,52260.82,58568.51,
April-2022,58530.73,60845.10,56009.07,57060.87,
May-2022,56429.45,57184.21,52632.48,55566.41,
June-2022,55588.27,56432.65,50921.22,53018.94,
July-2022,52863.34,57619.27,52094.25,57570.25,
August-2022,57823.10,60411.20,57367.47,59537.07,
September-2022,58710.53,60676.12,56147.23,57426.92,
October-2022,57403.92,60786.70,56683.40,60746.59,
November-2022,61065.58,63303.01,60425.47,63099.65,
December-2022,63357.99,63583.07,59754.10,60840.74,
January-2023,60871.24,61343.96,58699.20,59549.90,
February-2023,60001.17,61682.25,58795.97,58962.12,
March-2023,59136.48,60498.48,57084.91,58991.52,
April-2023,59131.16,61209.46,58793.08,61112.44,
May-2023,61301.61,63036.12,61002.17,62622.24,
June-2023,62736.47,64768.58,62359.14,64718.56,
July-2023,64836.16,67619.17,64836.16,66527.67,
August-2023,66532.98,66658.12,64723.63,64831.41,
September-2023,64855.51,67927.23,64818.37,65828.41,
October-2023,65813.42,66592.16,63092.98,63874.93,
November-2023,63829.87,67069.89,63550.46,66988.44,
December-2023,67181.15,72484.34,67149.07,72240.26,
January-2024,72218.39,73427.59,70001.60,71752.11,
February-2024,71998.78,73413.93,70809.84,72500.30,
March-2024,72606.31,74245.17,71674.42,73651.35,
April-2024,73968.62,75124.28,71816.46,74482.78,
May-2024,74391.73,76009.68,71866.01,73961.31,
June-2024,76583.29,79671.58,70234.43,79032.73,
July-2024,79043.35,81908.43,78971.79,81741.34,
August-2024,81949.68,82637.03,78295.86,82365.77,
September-2024,82725.28,85978.25,80895.05,85571.85,
